rating,comm,date,playtime,comm_ready,rating_bool
Recommended,ИГРА ДАЛА 3 ОТЧИМА ПОФИКСТЕ ПЛИЗ,Posted: 19 Apr @ 10:36am,37.9 hrs last two weeks / 128.4 hrs on record(123.3 hrs at review time),игра дать отчим пофикст плиз,1
Not Recommended,"Очень классная игра! Всем рекомендую! Где то я слышал, что для VALVE античит - это главная цель на данный момент, но почему то особого результата не видно. Компания с многомиллионным оборотом, не может сделать нормальный античит уже несколько лет. Причем уже дошло до того, что с читом играет каждый школьник, и в каждой катке хоть один чел с синдромом дауна, обязательно найдется. Кажется, как будто игра еще на бета-тесте, и античит особого смысла разрабатывать нет... лучше добавить брелки, и так читеры сами по себе уйдут. Советую удалить эту игру года так на 2, чтобы дождаться пока игра выйдет с бета-теста, и появиться нормальный античит. Лучше сохранить себе нервы...",Posted: 19 Apr @ 10:37am,5.4 hrs last two weeks / 60.9 hrs on record(58.0 hrs at review time),классный игра рекомендовать слышать valve античит главный цель данный момент особый результат видно компания многомиллионный оборот нормальный античит год причём дойти тот читом играть школьник каждый каток чел синдром даун обязательно найтись казаться игра бета тест античит особый смысл разрабатывать нет добавить брелок читер уйти советовать удалить игра дождаться игра выйти бета тест появиться нормальный античит сохранить нерв,0
Not Recommended,игра гована!!!! читеров больше чем где либо еще!!!!разрабы пинают  и ничего не делают с анти читом!!!!,Posted: 19 Apr @ 10:35am,"0.6 hrs last two weeks / 1,772.8 hrs on record",игра гован читер либо ещё разраб пинать делать анти читом,0
Recommended,Имба я симпал,Posted: 19 Apr @ 10:33am,6.1 hrs last two weeks / 10.9 hrs on record(10.5 hrs at review time),имб симпасть,1
Recommended,топ,Posted: 19 Apr @ 10:33am,9.5 hrs last two weeks / 57.1 hrs on record(49.0 hrs at review time),топ,1
Not Recommended,"Кривая регистрация, лагающие серваки, читаки. Из плюсов сундуки.",Posted: 19 Apr @ 10:31am,6.4 hrs last two weeks / 223.7 hrs on record(222.6 hrs at review time),кривая регистрация лагать сервак читаки плюс сундук,0
Recommended,гавне,Posted: 19 Apr @ 10:30am,0.2 hrs last two weeks / 185.9 hrs on record(185.8 hrs at review time),гавне,1
Recommended,кал,Posted: 19 Apr @ 10:28am,8.1 hrs last two weeks / 96.5 hrs on record(94.3 hrs at review time),кал,1
Not Recommended,Бо,Posted: 19 Apr @ 10:26am,0.0 hrs last two weeks / 924.9 hrs on record,бо,0
Not Recommended,HVH сервера перебрались в Premier режимАнтичит писали ученики колледжа,Posted: 19 Apr @ 10:24amUpdated: 19 Apr @ 10:26am,"9.4 hrs last two weeks / 1,292.8 hrs on record(1,290.7 hrs at review time)",hvh сервер перебраться premier режимантичить писать ученик колледж,0
Not Recommended,говнище ,Posted: 19 Apr @ 10:19am,5.4 hrs last two weeks / 156.8 hrs on record,говнищий,0
Recommended,скиби туалеты куртые еееее мистер фуррии еееееееееее,Posted: 19 Apr @ 10:17am,9.5 hrs last two weeks / 38.5 hrs on record(37.4 hrs at review time),скибить туалет куртый еееий мистер фуррий еееееееееий,1
Recommended,я вахуи честн,Posted: 19 Apr @ 10:16am,74.0 hrs last two weeks / 729.6 hrs on record(721.1 hrs at review time),вахуй честн,1
Recommended,топ игра советую много читеров но нормчик так то,Posted: 19 Apr @ 10:10am,4.7 hrs last two weeks / 56.1 hrs on record(54.5 hrs at review time),топ игра советовать читер нормчик,1
Recommended,ф,Posted: 19 Apr @ 10:09am,8.6 hrs last two weeks / 8.6 hrs on record(5.3 hrs at review time),,1
Recommended,я лох,Posted: 19 Apr @ 10:07am,18.9 hrs last two weeks / 430.2 hrs on record(411.3 hrs at review time),лох,1
Recommended,Паша сын фермера,Posted: 19 Apr @ 10:04am,58.3 hrs last two weeks / 907.7 hrs on record(897.0 hrs at review time),паша сын фермер,1
Recommended,"топ, пон???",Posted: 19 Apr @ 10:00am,10.1 hrs last two weeks / 10.1 hrs on record,топ пон,1
Recommended,игра,Posted: 19 Apr @ 9:59am,3.5 hrs last two weeks / 46.8 hrs on record(45.1 hrs at review time),игра,1
Recommended, игра с праймом,Posted: 19 Apr @ 9:58am,3.5 hrs last two weeks / 46.8 hrs on record(45.1 hrs at review time),игра прайм,1
Recommended,топ тема для скуфов,Posted: 19 Apr @ 9:54am,35.9 hrs last two weeks / 99.6 hrs on record(95.1 hrs at review time),топ тема скуф,1
Not Recommended,гавно глюченое,Posted: 19 Apr @ 9:48am,6.4 hrs last two weeks / 727.9 hrs on record(724.7 hrs at review time),гавный глюченой,0
Recommended,все,Posted: 19 Apr @ 9:46am,22.5 hrs last two weeks / 897.5 hrs on record(895.2 hrs at review time),,1
Recommended,увидел как забанили софтераахуелпроснулсязаплакал в очередной катке с софтом,Posted: 19 Apr @ 9:42am,26.0 hrs last two weeks / 123.3 hrs on record(122.8 hrs at review time),увидеть забанить софтераахуелпроснулсязаплакать очередной каток софт,1
Not Recommended,читеры в каждой 2 - й игре,Posted: 19 Apr @ 9:42am,12.9 hrs last two weeks / 914.3 hrs on record(912.9 hrs at review time),читер каждый игра,0
Recommended,калл,Posted: 19 Apr @ 9:38am,1.0 hrs last two weeks / 183.8 hrs on record(182.8 hrs at review time),калла,1
Recommended,имба,Posted: 19 Apr @ 9:37am,5.5 hrs last two weeks / 44.4 hrs on record(41.3 hrs at review time),имб,1
Recommended,крутая игрушка,Posted: 19 Apr @ 9:35am,31.6 hrs last two weeks / 31.6 hrs on record(14.7 hrs at review time),крутой игрушка,1
Recommended,ну имба влил 10 к ии не выбел ножик,Posted: 19 Apr @ 9:34am,0.5 hrs last two weeks / 35.0 hrs on record(34.7 hrs at review time),имб влить 10 ия выбел ножик,1
Recommended,все,Posted: 19 Apr @ 9:33am,0.8 hrs last two weeks / 129.8 hrs on record(129.8 hrs at review time),,1
Recommended,"хотел поиграть с друзьями, а в мне насрали в рот поляки",Posted: 19 Apr @ 9:31am,8.5 hrs last two weeks / 147.9 hrs on record(146.9 hrs at review time),хотеть поиграть друг насрали рот поляк,1
Not Recommended,читерская помойка),Posted: 19 Apr @ 9:29am,"1.5 hrs last two weeks / 1,257.6 hrs on record",читерский помойка,0
Recommended,пабг лучше,Posted: 19 Apr @ 9:28am,0.0 hrs last two weeks / 7.6 hrs on record,пабга,1
Not Recommended,говно ,Posted: 19 Apr @ 9:25am,1.3 hrs last two weeks / 3.5 hrs on record(3.1 hrs at review time),говно,0
Not Recommended,Дерьмо,Posted: 19 Apr @ 9:23am,21.3 hrs last two weeks / 25.8 hrs on record(23.6 hrs at review time),дерьмо,0
Recommended,ц,Posted: 19 Apr @ 9:23am,3.2 hrs last two weeks / 301.8 hrs on record(300.0 hrs at review time),,1
Recommended,у,Posted: 19 Apr @ 9:21am,1.6 hrs last two weeks / 25.7 hrs on record(24.2 hrs at review time),,1
Recommended,норм,Posted: 19 Apr @ 9:21am,3.2 hrs last two weeks / 27.0 hrs on record(23.9 hrs at review time),норма,1
Not Recommended,"Фуу из дробовика нельзя стрелять на далекие расстояния, и тима у меня раки полные, и нет фурри в панперсан пук пук какашки ода",Posted: 19 Apr @ 9:21am,0.6 hrs last two weeks / 0.6 hrs on record(0.3 hrs at review time),фуу дробовик стрелять далёкий расстояние тим рак полный фурри панперсан пук пук какашка ода,0
Recommended,ИМБА,Posted: 19 Apr @ 9:19am,47.9 hrs last two weeks / 47.5 hrs on record(29.0 hrs at review time),имб,1
Not Recommended,токсичное комьюнити,Posted: 19 Apr @ 9:16am,2.1 hrs last two weeks / 26.0 hrs on record(24.1 hrs at review time),токсичный комьюнити,0
Recommended,ахуенно,Posted: 19 Apr @ 9:15am,64.2 hrs last two weeks / 82.8 hrs on record(75.5 hrs at review time),ахуенно,1
Recommended,збс,Posted: 19 Apr @ 9:15am,3.6 hrs last two weeks / 3.8 hrs on record(3.8 hrs at review time),збс,1
Not Recommended, игра от  для ,Posted: 19 Apr @ 9:15am,6.9 hrs last two weeks / 332.1 hrs on record(330.8 hrs at review time),игра,0
Recommended,я ибал,Posted: 19 Apr @ 9:11am,73.6 hrs last two weeks / 184.3 hrs on record(171.8 hrs at review time),ибал,1
Recommended,топ,Posted: 19 Apr @ 9:10am,0.0 hrs last two weeks / 314.1 hrs on record,топ,1
Recommended,играл еще в кс обычную как помне игра стала только лучше баги есть везде так что простительно только анти чит хромает,Posted: 19 Apr @ 9:06am,28.8 hrs last two weeks / 29.4 hrs on record(10.0 hrs at review time),играть кс обычный помня игра стать баг простительный анти чит хромать,1
Recommended,я поджарыл курыцу гыгыгыыг,Posted: 19 Apr @ 9:05am,14.9 hrs last two weeks / 663.5 hrs on record(660.0 hrs at review time),поджарыло курыца гыгыгыыга,1
Recommended,Ну я геем стал что могу скачать...,Posted: 19 Apr @ 9:02am,6.1 hrs last two weeks / 105.2 hrs on record(103.7 hrs at review time),гей скачать,1
Recommended,Залупа  не играйте. Читеров просто ,Posted: 19 Apr @ 8:57am,0.1 hrs last two weeks / 767.0 hrs on record,залупа играть читер,1
Recommended,"советую, """"нету читеров"""", """"хорошие добрые люди"""". все отлично))))",Posted: 19 Apr @ 8:56am,6.9 hrs last two weeks / 106.9 hrs on record(106.2 hrs at review time),советовать нету читер хороший добрый человек отлично,1
Recommended,ека,Posted: 19 Apr @ 8:55am,5.3 hrs last two weeks / 266.7 hrs on record(266.6 hrs at review time),ека,1
Recommended,"Норм, но много багов",Posted: 19 Apr @ 8:45am,8.2 hrs last two weeks / 191.5 hrs on record,норма баг,1
Recommended,"норм игра,из минусов часто попадаются таджики и узбеки которые не понимают о чем идет речь",Posted: 19 Apr @ 8:39am,1.6 hrs last two weeks / 284.6 hrs on record(283.7 hrs at review time),норма игра из минус попадаться таджик узбек понимать идти речь,1
Recommended,топ пушка игра прям взрыв школы,Posted: 19 Apr @ 8:39am,13.1 hrs last two weeks / 47.8 hrs on record(38.3 hrs at review time),топ пушка игра прям взрыв школа,1
Recommended,Топ!,Posted: 19 Apr @ 8:38am,23.5 hrs last two weeks / 36.4 hrs on record(30.1 hrs at review time),топ,1
Recommended,"Не затягивает, попадаются сыновья лучшей подруги твоей мамы",Posted: 19 Apr @ 8:37am,"5.5 hrs last two weeks / 7,072.2 hrs on record(7,071.6 hrs at review time)",затягивать попадаться сын хороший подруга твой мама,1
Recommended,топпппппппппппп,Posted: 19 Apr @ 8:35am,25.6 hrs last two weeks / 967.4 hrs on record(964.3 hrs at review time),топппппппппппппа,1
Recommended,"имба игра, люблю на мид",Posted: 19 Apr @ 8:30am,5.3 hrs last two weeks / 76.6 hrs on record(72.9 hrs at review time),имб игра любить мид,1
Not Recommended,"Игра полная читаков, анти-чит никогда не работал и походу не будет работать, просто потратите свое время и нервы",Posted: 19 Apr @ 8:22am,"13.8 hrs last two weeks / 1,613.8 hrs on record(1,611.2 hrs at review time)",игра полный читаковы анти чит работать поход работать потратить нерв,0
Not Recommended,"да со мной друзья перестали общаться кароче рассказываю историю,мы пошли в премьер режим, а там надо было играть,а я посрать пошёл и потом я уснул на толчке и без меня проиграли теперь со мной перестали общаться все друзья  в общем( ну а так зато поспал и посрал я очень рад спасибо габен за смоки",Posted: 19 Apr @ 8:25am,5.9 hrs last two weeks / 344.3 hrs on record(343.4 hrs at review time),друг перестать общаться кароч рассказывать история мы послать премьер режим играть посрать пойти уснуть толчок проиграть перестать общаться друг общий поспасть посрать рад габен смока,0
Recommended,игра пушка бомба,Posted: 19 Apr @ 8:16am,20.5 hrs last two weeks / 235.4 hrs on record(233.2 hrs at review time),игра пушка бомба,1
Recommended,игра на 5 минут сначала не понял как играть потом тиммейты начали кричать и вот теперь я умею играть),Posted: 19 Apr @ 8:10am,22.9 hrs last two weeks / 111.7 hrs on record(105.4 hrs at review time),игра минута понять играть тиммейт начать кричать уметь играть,1
Recommended,Пока мне не выпал оружейный кейс за 10000 то я считал игру говном. Но теперь советую всем<U+0001F44D>. Valve лучшая кампания!!<U+0001F60D><U+0001F60D><U+0001F60D>,Posted: 19 Apr @ 7:59am,5.7 hrs last two weeks / 280.2 hrs on record(280.1 hrs at review time),выпасть оружейный кейс 10000 считать игра говно советовать весь valve хороший кампания,1
Recommended, полная,Posted: 19 Apr @ 7:56am,45.0 hrs last two weeks / 396.4 hrs on record(389.6 hrs at review time),полный,1
Recommended,ностольгия  по новому,Posted: 19 Apr @ 7:54am,1.9 hrs last two weeks / 11.0 hrs on record(10.6 hrs at review time),ностольгия новый,1
Recommended,найс,Posted: 19 Apr @ 7:54am,2.1 hrs last two weeks / 464.3 hrs on record(462.3 hrs at review time),найса,1
Recommended,В целом и вообщем на данный момент игра рабочая. Большинство глобальных ошибок исправлено осталось только античит сделать. Valve пожалуйста сделайте. А то как в кс го все и то хуже будет. Читы развиваются семимильными шагами.,Posted: 19 Apr @ 7:57am,3.1 hrs last two weeks / 378.2 hrs on record,целое вообщий данный момент игра рабочий большинство глобальный ошибка исправить остаться античит сделать valve сделать кс го плохой быть чита развиваться семимильный шаг,1
Not Recommended,КОНЧЕННАЯ ИГРА!!! НАХЕР ВЫ ОБНОВИЛИ ИГРУ?! ПОСТОЯННЫЕ ЛАГИ!!!! ДА ХРЕН С НИМ С ЛАГАМИ!!! КАЖДОЙ КАТКЕ ЧИТЕР!!! ВАШ АНТИЧИТ ПОЛНАЯ ЗАЛУПА!!!! НАХЕР ВЫ ИГРУ ИСПОРТИЛИ?????,Posted: 19 Apr @ 7:53am,"42.8 hrs last two weeks / 1,978.3 hrs on record(1,969.5 hrs at review time)",кончить игра нахер обновить игра постоянный лаг хрен лаг каждый каток читер античит полный залупа нахер игра испортить,0
Not Recommended,Игра для читеров,Posted: 19 Apr @ 7:53am,9.1 hrs last two weeks / 934.5 hrs on record(928.2 hrs at review time),игра читер,0
Recommended,ыва,Posted: 19 Apr @ 7:44am,18.2 hrs last two weeks / 53.4 hrs on record(48.3 hrs at review time),ыва,1
Recommended,игра,Posted: 19 Apr @ 7:43am,33.4 hrs last two weeks / 33.4 hrs on record(12.4 hrs at review time),игра,1
Not Recommended,  слишком многа читеров,Posted: 19 Apr @ 7:40am,"10.6 hrs last two weeks / 1,868.6 hrs on record(1,864.7 hrs at review time)",много читер,0
Recommended,говно,Posted: 19 Apr @ 7:36am,"45.1 hrs last two weeks / 2,442.8 hrs on record(2,434.9 hrs at review time)",говно,1
Recommended,Ну играть можно),Posted: 19 Apr @ 7:29am,5.1 hrs last two weeks / 39.1 hrs on record(35.9 hrs at review time),играть можно,1
Recommended,лучшая игра для аутистов   :c,Posted: 19 Apr @ 7:25am,5.9 hrs last two weeks / 57.6 hrs on record(56.1 hrs at review time),хороший игра аутист,1
Recommended,нравится 5 отчимам,Posted: 19 Apr @ 7:22am,46.9 hrs last two weeks / 68.4 hrs on record(46.4 hrs at review time),нравиться отчим,1
Not Recommended,игра имба.читаков тьма...Разрабы забили на игрую.,Posted: 19 Apr @ 7:19am,2.7 hrs last two weeks / 218.2 hrs on record(215.5 hrs at review time),игра имб читаковы тьма разраб забить игровать,0
Recommended,пися,Posted: 19 Apr @ 7:19am,4.2 hrs last two weeks / 53.5 hrs on record(52.8 hrs at review time),пися,1
Recommended,фыв,Posted: 19 Apr @ 7:15am,9.8 hrs last two weeks / 99.7 hrs on record(98.1 hrs at review time),фыв,1
Recommended,Игра в кал,Posted: 19 Apr @ 7:11am,2.4 hrs last two weeks / 26.6 hrs on record(25.6 hrs at review time),игра кал,1
Recommended,прикольная игра,Posted: 19 Apr @ 7:11am,4.1 hrs last two weeks / 53.4 hrs on record(50.7 hrs at review time),прикольный игра,1
Recommended,"игра прикольная, но с читерами просто беда",Posted: 19 Apr @ 7:10am,21.1 hrs last two weeks / 181.3 hrs on record(169.5 hrs at review time),игра прикольный читер беда,1
Recommended,зашел с другом поиграть но меня похитили и посадили на 1488 часов в медного быка<U+0001F625><U+0001F62D>,Posted: 19 Apr @ 7:08am,0.5 hrs last two weeks / 30.9 hrs on record,зайти друг поиграть похитить посадить 1488 час медный бык,1
Recommended,кпуто ,Posted: 19 Apr @ 7:05am,"70.3 hrs last two weeks / 1,007.6 hrs on record(1,001.8 hrs at review time)",кпуть,1
Recommended,глоб глоб глоб глоб,Posted: 19 Apr @ 7:02am,0.7 hrs last two weeks / 436.4 hrs on record(436.1 hrs at review time),глоб глоб глоб глоб,1
Recommended,ьрм,Posted: 19 Apr @ 6:57am,1.2 hrs last two weeks / 41.5 hrs on record(41.0 hrs at review time),ьрм,1
Recommended,стало лучше ,Posted: 19 Apr @ 6:51am,0.0 hrs last two weeks / 38.4 hrs on record,стать,1
Recommended,Игра прикольная но надо учиться контролировать спрей. Но это не лучшая игра в своём роде но это легенда,Posted: 19 Apr @ 6:51am,4.1 hrs last two weeks / 55.6 hrs on record(51.9 hrs at review time),игра прикольный учиться контролировать спреть хороший игра свой род легенда,1
Recommended,Супер игра только почему все бегают со скоростью света и крутятся?,Posted: 19 Apr @ 6:49am,27.4 hrs last two weeks / 56.7 hrs on record(43.7 hrs at review time),супер игра бегать скорость свет крутиться,1
Recommended,топ,Posted: 19 Apr @ 6:49am,86.6 hrs last two weeks / 104.0 hrs on record(86.3 hrs at review time),топ,1
Recommended,очень хорошая игра люблю играть и не даёт она мне спать,Posted: 19 Apr @ 6:49am,8.2 hrs last two weeks / 157.8 hrs on record(155.5 hrs at review time),хороший игра любить играть давать спать,1
Recommended,ЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦЦ Я В ШОКЕ,Posted: 19 Apr @ 6:45am,25.8 hrs last two weeks / 65.9 hrs on record(55.3 hrs at review time),цццццццццццццццццццццццццца шок,1
Recommended,ну если играть с другом Артемом который за тебя все килы делает то игра имба,Posted: 19 Apr @ 6:44am,14.9 hrs last two weeks / 21.7 hrs on record(15.7 hrs at review time),играть друг артём кил делать игра имб,1
Recommended,Шутер всех времён и народов)),Posted: 19 Apr @ 6:40am,8.0 hrs last two weeks / 54.8 hrs on record(54.3 hrs at review time),шутереть время народ,1
Recommended,Этот гейм просто имба.,Posted: 19 Apr @ 6:40am,4.4 hrs last two weeks / 59.8 hrs on record(55.5 hrs at review time),гейм имб,1
Recommended,топ игра рек всем,Posted: 19 Apr @ 6:39am,0.5 hrs last two weeks / 138.0 hrs on record(137.5 hrs at review time),топ игра река,1
Recommended,ну ваще имба ничо не сказать,Posted: 19 Apr @ 6:36am,11.6 hrs last two weeks / 660.2 hrs on record(657.2 hrs at review time),ващий имб ничо,1
Recommended,тряхни стариной,Posted: 19 Apr @ 6:35am,26.7 hrs last two weeks / 141.7 hrs on record(126.9 hrs at review time),тряхнуть старина,1
Not Recommended,"Игра ,оптимизации нет,античита нет,да и впринципе игра  ",Posted: 19 Apr @ 6:34am,1.6 hrs last two weeks / 12.6 hrs on record(12.5 hrs at review time),игра оптимизация нет античита нет да впринцип игра,0
Recommended,ИМБАААА  КОНТР СТРАЙК 2 ЭТО ЛУЧШЕЕ ЧТО Я ВИДЕЛ В ЖИЗНИ!,Posted: 19 Apr @ 6:33am,12.1 hrs last two weeks / 183.8 hrs on record(176.4 hrs at review time),имбаааа контры страйк хороший жизнь,1
Recommended,нормасик,Posted: 19 Apr @ 6:29am,34.1 hrs last two weeks / 149.0 hrs on record(133.0 hrs at review time),нормасик,1
Recommended,ТОП ИГРА СОВЕТУЮ ТОК ЖОПА РВЕТСЯ,Posted: 19 Apr @ 6:27am,45.1 hrs last two weeks / 343.0 hrs on record(334.1 hrs at review time),топ игра советовать ток жопа рваться,1
Recommended,ну ладно,Posted: 19 Apr @ 6:20am,35.5 hrs last two weeks / 424.2 hrs on record(414.7 hrs at review time),ладный,1
Recommended,Игра шлак,Posted: 19 Apr @ 6:15am,"6.4 hrs last two weeks / 1,229.5 hrs on record(1,228.4 hrs at review time)",игра шлак,1
Recommended,Хочешь потерять нервы то тебе сюда!,Posted: 19 Apr @ 6:14am,24.6 hrs last two weeks / 328.3 hrs on record(319.0 hrs at review time),потерять нерв сюда,1
Recommended,игра просто топ для читера,Posted: 19 Apr @ 6:13am,9.6 hrs last two weeks / 850.1 hrs on record,игра топ читер,1
Recommended,"классная игра, комьюнити классное, спасибо за прекрасную игру",Posted: 19 Apr @ 6:12am,"0.5 hrs last two weeks / 2,477.7 hrs on record",классный игра комьюнити классный прекрасный игра,1
Recommended,классная игра,Posted: 19 Apr @ 6:07am,26.9 hrs last two weeks / 99.5 hrs on record(87.8 hrs at review time),классный игра,1
Not Recommended,вайб не тот,Posted: 19 Apr @ 6:07am,2.5 hrs last two weeks / 4.8 hrs on record,вайба,0
Recommended,ИГРА ДЛЯ ДАУНОВ,Posted: 19 Apr @ 6:01am,0.9 hrs last two weeks / 18.1 hrs on record,игра даун,1
Recommended,круто,Posted: 19 Apr @ 6:00am,11.4 hrs last two weeks / 59.3 hrs on record(55.5 hrs at review time),круто,1
Recommended,Норм,Posted: 19 Apr @ 5:59am,"12.9 hrs last two weeks / 3,066.3 hrs on record(3,058.7 hrs at review time)",норма,1
Not Recommended,"Эта игра представляет собой уникальное сочетание разнообразия и новаторства. В ней ты обладаешь свободой действий: можешь проникнуть в роли медиума, способного видеть сквозь стены. Иногда тебе приходится сталкиваться с таким же искусным противником, и игра превращается в захватывающий многопользовательский онлайн-бой.Благодарю создателей за этот великолепный шедевр, окрашенный в оттенки прошлого века. Они - настоящие виртуозы своего дела!",Posted: 19 Apr @ 6:03am,"1.3 hrs last two weeks / 1,644.2 hrs on record(1,644.1 hrs at review time)",игра представлять уникальный сочетание разнообразие новаторство обладать свобода действие мочь проникнуть роль медиум способный сквозь стена приходиться сталкиваться такой искусный противник игра превращаться захватывать многопользовательский онлайн бой благодарить создатель великолепный шедевр окрасить оттенок прошлое век настоящий виртуоз дело,0
Recommended,бедварс беттер,Posted: 19 Apr @ 5:56am,"9.6 hrs last two weeks / 1,585.0 hrs on record",бедварс беттереть,1
Recommended,да,Posted: 19 Apr @ 5:56am,18.2 hrs last two weeks / 184.1 hrs on record(179.3 hrs at review time),,1
Recommended,ц3уккук,Posted: 19 Apr @ 5:56am,0.6 hrs last two weeks / 39.5 hrs on record(38.9 hrs at review time),ц3уккук,1
Recommended,очень круто,Posted: 19 Apr @ 5:55am,15.2 hrs last two weeks / 55.5 hrs on record(51.9 hrs at review time),круто,1
Recommended,Лучшая,Posted: 19 Apr @ 5:50am,"21.2 hrs last two weeks / 4,091.3 hrs on record(4,085.8 hrs at review time)",хороший,1
Not Recommended,мпамиоб ьма,Posted: 19 Apr @ 5:48am,17.6 hrs last two weeks / 56.4 hrs on record(53.5 hrs at review time),мпамиоб ьма,0
Not Recommended,не,Posted: 19 Apr @ 5:48am,17.6 hrs last two weeks / 56.4 hrs on record(53.5 hrs at review time),,0
Recommended,завидую людям которые в это не играли,Posted: 19 Apr @ 5:46am,2.7 hrs last two weeks / 417.8 hrs on record(417.2 hrs at review time),завидовать человек играть,1
Not Recommended,дерьмо игра с миллионами читаков и без баланса,Posted: 19 Apr @ 5:41am,45.2 hrs last two weeks / 375.3 hrs on record(368.4 hrs at review time),дерьмо игра миллион читаковы баланс,0
Recommended,"для истинных сосок, ням ням",Posted: 19 Apr @ 5:39am,16.0 hrs last two weeks / 821.5 hrs on record(817.4 hrs at review time),истинный соска ням ням,1
Not Recommended,мощный пк и лагает игра,Posted: 19 Apr @ 5:26am,1.3 hrs last two weeks / 551.7 hrs on record(550.9 hrs at review time),мощный пк лагаета игра,0
Recommended,"Когда Вальве положила болт на античит, но нарисовала новые скинчики <3",Posted: 19 Apr @ 5:24am,5.5 hrs last two weeks / 6.8 hrs on record(6.7 hrs at review time),вальва положить болт античит нарисовать новый скинчик,1
Not Recommended,Вышел Vac после патча и читеры начали точнее давать мне в ,Posted: 19 Apr @ 5:22am,"9.0 hrs last two weeks / 1,312.5 hrs on record(1,311.6 hrs at review time)",выйти vac патч читер начать точнее,0
Recommended,это игра забрала слишком многое...,Posted: 19 Apr @ 5:18am,39.9 hrs last two weeks / 411.6 hrs on record(408.7 hrs at review time),игра забрать многое,1
Recommended,Топ игра!,Posted: 19 Apr @ 5:17am,33.5 hrs last two weeks / 47.9 hrs on record(42.7 hrs at review time),топ игра,1
Not Recommended,"Игра помойка, нет античита",Posted: 19 Apr @ 5:15am,41.9 hrs last two weeks / 168.1 hrs on record(159.9 hrs at review time),игра помойка античита,0
Recommended,"много софтоф, но я играю",Posted: 19 Apr @ 5:06am,36.9 hrs last two weeks / 85.8 hrs on record(80.4 hrs at review time),софтоф играть,1
Recommended,сичня,Posted: 19 Apr @ 4:59am,20.4 hrs last two weeks / 776.0 hrs on record(770.9 hrs at review time),сичня,1
Recommended,Мир чудес зашел на час на год исчез,Posted: 19 Apr @ 4:58am,0.0 hrs last two weeks / 110.2 hrs on record,чудо зайти исчезнуть,1
Recommended,"крутая игра, но с праймом без читеров слишком много",Posted: 19 Apr @ 4:48am,53.6 hrs last two weeks / 71.7 hrs on record(66.0 hrs at review time),крутой игра прайм читер,1
Recommended,ввввввввв,Posted: 19 Apr @ 4:46am,7.2 hrs last two weeks / 60.7 hrs on record(54.9 hrs at review time),ввввввввва,1
Not Recommended,не нравки,Posted: 19 Apr @ 4:33am,10.5 hrs last two weeks / 26.0 hrs on record(19.2 hrs at review time),нравка,0
Recommended,меня опустили:(,Posted: 19 Apr @ 4:33am,0.0 hrs last two weeks / 14.8 hrs on record,опустить,1
Recommended,Не рекомендую,Posted: 19 Apr @ 4:31am,1.7 hrs last two weeks / 4.4 hrs on record(3.3 hrs at review time),рекомендовать,1
Recommended,"игра безумно хорошая, за первый час у меня пропал отец",Posted: 19 Apr @ 4:31am,53.9 hrs last two weeks / 53.3 hrs on record(41.4 hrs at review time),игра безумно хороший пропасть,1
Not Recommended,", маму разраба ",Posted: 19 Apr @ 4:30am,40.2 hrs last two weeks / 119.2 hrs on record(102.1 hrs at review time),мама разраб,0
Recommended,пойдет,Posted: 19 Apr @ 4:27am,3.2 hrs last two weeks / 139.5 hrs on record(138.7 hrs at review time),пойти,1
Not Recommended,наху* я сюда пришел..не советую <3,Posted: 19 Apr @ 4:27am,49.1 hrs last two weeks / 596.6 hrs on record(589.5 hrs at review time),нах сюда прийти не советовать,0
Recommended,Нагиев топ,Posted: 19 Apr @ 4:25am,"12.2 hrs last two weeks / 1,128.4 hrs on record",нагий топ,1
Recommended,ну да ну да,Posted: 19 Apr @ 4:22am,7.9 hrs last two weeks / 378.4 hrs on record(372.0 hrs at review time),,1
Recommended,Игра хорошая отличная главное без не честных игроков ставлю 7/10 читаков,Posted: 19 Apr @ 4:21am,2.0 hrs last two weeks / 56.6 hrs on record(55.3 hrs at review time),игра хороший отличный главное честной игрок ставить 10 читаковы,1
Recommended,"готов играть хоть каждый день и стать киберспортсменом , но нет мощного компьютера к сожалению. игра класс",Posted: 19 Apr @ 4:21am,2.8 hrs last two weeks / 124.4 hrs on record(121.6 hrs at review time),готовый играть киберспортсмен мощный компьютер сожаление игра класс,1
Recommended, все тебя,Posted: 19 Apr @ 4:19am,"49.4 hrs last two weeks / 1,012.8 hrs on record(1,000.8 hrs at review time)",,1
Recommended,"Ну шо сказать, все об одном и говорят не регистрирует нифига патроны а ведь обещали сервер 128 тикрейт и тд, но эти слова как себе обещать не бухать заходят в кс2.",Posted: 19 Apr @ 4:17am,"56.3 hrs last two weeks / 13,343.9 hrs on record(13,335.6 hrs at review time)",что сказать один говорить регистрировать нифига патрон обещать сервер 128 тикрейт тд слово обещать бухать заходить кс2,1
Recommended,чмо,Posted: 19 Apr @ 4:10am,19.8 hrs last two weeks / 83.7 hrs on record(81.6 hrs at review time),чмо,1
Recommended,да,Posted: 19 Apr @ 4:10am,19.8 hrs last two weeks / 83.7 hrs on record(81.6 hrs at review time),,1
Recommended,как стать изгоем общества,Posted: 19 Apr @ 4:08am,45.3 hrs last two weeks / 304.7 hrs on record(295.8 hrs at review time),изгой общество,1
